"","Tournament","Prize Money (millions USD)","Position","Amount"
"1","Women's World Cup",6,"Group stage","$6,000,000"
"2","World Cup",128,"Group stage","$128,000,000"
"3","Women's World Cup",8,"Last 16","$8,000,000"
"4","World Cup",96,"Last 16","$96,000,000"
"5","Women's World Cup",5.8,"Quarter-finals","$5,800,000"
"6","World Cup",64,"Quarter-finals","$64,000,000"
"7","Women's World Cup",1.6,"Fourth place","$1,600,000"
"8","World Cup",22,"Fourth place","$22,000,000"
"9","Women's World Cup",2,"Third place","$2,000,000"
"10","World Cup",24,"Third place","$24,000,000"
"11","Women's World Cup",2.6,"Runners-up","$2,600,000"
"12","World Cup",28,"Runners-up","$28,000,000"
"13","Women's World Cup",4,"Winners","$4,000,000"
"14","World Cup",38,"Winners","$38,000,000"
