"","player.name","goals_scored","country","last_name"
"1","Megan Rapinoe",6,"www/uswnt.png","Rapinoe"
"2","Ellen White",6,"www/eng.png","White"
"3","Alex Morgan",6,"www/uswnt.png","Morgan"
"4","Samantha May Kerr",5,"www/aus.png","Kerr"
"5","Wendie Renard",4,"www/bra.png","Renard"
"6","Cristiane Rozeira de Souza Silva",4,"www/fra.png","Cristiane"
"7","Vivianne Miedema",3,"www/ita.png","Miedema"
"8","Sara Däbritz",3,"www/uswnt.png","Däbritz"
"9","Rosemary Kathleen Lavelle",3,"www/ita.png","Lavelle"
"10","Kosovare Asllani",3,"www/spa.png","Asllani"
